"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 15, 2013","166.38","167.41","167.43","166.09","152.93M","-1.40"
"Aug 14, 2013","168.74","169.53","169.80","168.70","79.83M","-0.51"
"Aug 13, 2013","169.61","169.41","169.90","168.41","80.81M","0.30"
"Aug 12, 2013","169.11","168.46","169.31","168.38","68.59M","-0.12"
"Aug 09, 2013","169.31","169.58","170.10","168.72","91.86M","-0.29"
"Aug 08, 2013","169.80","169.98","170.18","168.93","102.18M","0.37"
"Aug 07, 2013","169.18","169.19","169.43","168.55","84.85M","-0.32"
"Aug 06, 2013","169.73","170.37","170.74","169.35","87.49M","-0.57"
"Aug 05, 2013","170.70","170.57","170.96","170.35","54.07M","-0.15"
"Aug 02, 2013","170.95","170.28","170.97","170.05","91.12M","0.17"
"Aug 01, 2013","170.66","169.99","170.81","169.90","110.44M","1.16"
"Jul 31, 2013","168.71","168.94","169.85","168.49","142.39M","0.07"
"Jul 30, 2013","168.59","169.10","169.28","168.19","85.22M","0.00"
"Jul 29, 2013","168.59","168.68","169.06","168.11","79.85M","-0.31"
"Jul 26, 2013","169.11","168.22","169.16","167.52","107.81M","0.11"
"Jul 25, 2013","168.93","168.22","169.08","167.94","111.16M","0.24"
"Jul 24, 2013","168.52","169.79","169.86","168.18","112.91M","-0.37"
"Jul 23, 2013","169.14","169.80","169.83","169.05","80.83M","-0.21"
"Jul 22, 2013","169.50","169.41","169.74","169.01","79.43M","0.20"
"Jul 19, 2013","169.17","168.52","169.23","168.31","103.83M","0.18"
"Jul 18, 2013","168.87","168.31","169.27","168.20","103.62M","0.55"
"Jul 17, 2013","167.95","168.16","168.48","167.73","92.87M","0.25"
"Jul 16, 2013","167.53","168.26","168.36","167.07","88.70M","-0.37"
"Jul 15, 2013","168.16","167.97","168.39","167.68","69.45M","0.39"
"Jul 12, 2013","167.51","167.39","167.93","167.13","104.21M","0.04"
"Jul 11, 2013","167.44","167.11","167.61","165.18","135.59M","1.36"
"Jul 10, 2013","165.19","164.97","165.75","164.63","121.41M","0.04"
"Jul 09, 2013","165.13","164.98","165.33","164.27","119.30M","0.73"
"Jul 08, 2013","163.94","163.86","164.39","163.08","108.09M","0.56"
"Jul 05, 2013","163.02","162.47","163.08","161.30","122.42M","1.08"
"Jul 03, 2013","161.28","160.48","161.77","160.22","75.22M","0.04"
"Jul 02, 2013","161.21","161.12","162.30","160.50","154.86M","-0.09"
"Jul 01, 2013","161.36","161.26","162.48","161.08","131.95M","0.59"
"Jun 28, 2013","160.42","160.63","161.40","159.86","160.40M","-0.41"
"Jun 27, 2013","161.08","161.10","161.82","160.95","129.48M","0.59"
"Jun 26, 2013","160.14","159.87","160.50","159.25","134.85M","0.99"
"Jun 25, 2013","158.57","158.48","160.10","157.42","162.26M","0.96"
"Jun 24, 2013","157.06","157.41","158.43","155.73","222.33M","-1.26"
"Jun 21, 2013","159.07","159.64","159.76","157.47","271.96M","-0.21"
"Jun 20, 2013","159.40","161.86","163.47","158.98","321.26M","-2.48"
"Jun 19, 2013","163.45","165.60","165.89","163.38","206.15M","-1.38"
"Jun 18, 2013","165.74","164.53","165.99","164.52","114.70M","0.79"
"Jun 17, 2013","164.44","164.29","165.22","163.22","136.30M","0.77"
"Jun 14, 2013","163.18","164.03","164.67","162.91","141.20M","-0.63"
"Jun 13, 2013","164.21","161.66","164.50","161.30","163.59M","1.52"
"Jun 12, 2013","161.75","164.22","164.39","161.60","177.36M","-0.83"
"Jun 11, 2013","163.10","163.30","164.54","162.74","159.51M","-1.03"
"Jun 10, 2013","164.80","165.31","165.40","164.37","105.67M","0.00"
"Jun 07, 2013","164.80","163.85","164.95","163.14","188.34M","1.27"
"Jun 06, 2013","162.73","161.20","162.74","160.25","200.23M","0.91"
"Jun 05, 2013","161.27","163.09","163.42","161.13","211.74M","-1.40"
"Jun 04, 2013","163.56","164.44","165.10","162.73","157.63M","-0.48"
"Jun 03, 2013","164.35","163.83","164.46","162.66","168.39M","0.56"
"May 31, 2013","163.44","165.37","166.31","163.13","176.85M","-1.44"
"May 30, 2013","165.83","165.35","166.59","165.22","107.79M","0.37"
"May 29, 2013","165.22","165.42","165.80","164.34","160.36M","-0.65"
"May 28, 2013","166.30","167.04","167.78","165.81","143.68M","0.60"
"May 24, 2013","165.31","164.47","165.38","163.98","151.57M","-0.08"
"May 23, 2013","165.45","164.16","165.91","163.94","211.06M","-0.29"
"May 22, 2013","165.93","167.34","169.07","165.17","244.03M","-0.74"
