ticker,name,marketCap,ipoyear,sector,industry,link,exchange,Country,spy,qqq,dow
JELD,"JELD-WEN Holding, Inc.",3563695431,2017,Basic Industries,Forest Products,http://www.nasdaq.com/symbol/jeld,NYSE,USA,,,
LSTR,"Landstar System, Inc.",3561518216,1993,Transportation,Trucking Freight/Courier Services,http://www.nasdaq.com/symbol/lstr,nasdaq,USA,,,
SXT,Sensient Technologies Corporation,3559740995,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/sxt,NYSE,USA,,,
OFC,Corporate Office Properties Trust,3558721744,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/ofc,NYSE,USA,,,
VSM,"Versum Materials, Inc.",3553390839,2016,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/vsm,NYSE,USA,,,
COTV,"Cotiviti Holdings, Inc.",3552312020,2016,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/cotv,NYSE,USA,,,
TRCO,Tribune Media Company,3550013896,2014,Consumer Services,Broadcasting,http://www.nasdaq.com/symbol/trco,NYSE,USA,,,
ACAD,ACADIA Pharmaceuticals Inc.,3540567282,2004,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acad,nasdaq,USA,,,
TEX,Terex Corporation,3534096000,n/a,Capital Goods,Construction/Ag Equipment/Trucks,http://www.nasdaq.com/symbol/tex,NYSE,USA,,,
SUN,Sunoco LP,3532012159,2012,Energy,Oil Refining/Marketing,http://www.nasdaq.com/symbol/sun,NYSE,USA,,,
LPX,Louisiana-Pacific Corporation,3521694607,n/a,Basic Industries,Forest Products,http://www.nasdaq.com/symbol/lpx,NYSE,USA,,,
LHO,LaSalle Hotel Properties,3518861501,1998,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/lho,NYSE,USA,,,
RDN,Radian Group Inc.,3508201587,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/rdn,NYSE,USA,,,
KEX,Kirby Corporation,3504989400,n/a,Consumer Services,Marine Transportation,http://www.nasdaq.com/symbol/kex,NYSE,USA,,,
SLGN,Silgan Holdings Inc.,3503733228,1997,Consumer Durables,Containers/Packaging,http://www.nasdaq.com/symbol/slgn,nasdaq,USA,,,
