Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,Exchange
ENRJ,"EnerJex Resources, Inc.",0.2802,2751955.439,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/enrj,AMEX
ENSV,ENSERVCO Corporation,0.35,17873681,n/a,n/a,Energy,Oilfield Services/Equipment,http://www.nasdaq.com/symbol/ensv,AMEX
ESNC,"EnSync, Inc.",0.3452,16573171.78,n/a,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/esnc,AMEX
EVI,"EnviroStarm, Inc.",31.05,321958847.3,n/a,n/a,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/evi,AMEX
ERN,Erin Energy Corp.,1.5,320110516.5,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/ern,AMEX
ESP,Espey Mfg. & Electronics Corp.,23.078,54725346.04,n/a,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/esp,AMEX
EVBN,"Evans Bancorp, Inc.",39.5,188294485.5,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/evbn,AMEX
EPM,"Evolution Petroleum Corporation, Inc.",7.75,256232801.8,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/epm,AMEX
FPP,FieldPoint Petroleum Corporation,0.3124,3333067.14,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/fpp,AMEX
FPP.WS,FieldPoint Petroleum Corporation,n/a,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/fpp.ws,AMEX
FEN,First Trust Energy Income and Growth Fund,24.72,479049399.1,n/a,2004,n/a,n/a,http://www.nasdaq.com/symbol/fen,AMEX
BDL,"Flanigan&#39;s Enterprises, Inc.",30.095,55935981.47,n/a,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/bdl,AMEX
FTF,Franklin Limited Duration Income Trust,12,271249512,n/a,2003,n/a,n/a,http://www.nasdaq.com/symbol/ftf,AMEX
FSP,Franklin Street Properties Corp.,11.15,1195627378,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/fsp,AMEX
FRD,Friedman Industries Inc.,5.48,38411753.12,n/a,n/a,Capital Goods,Steel/Iron Ore,http://www.nasdaq.com/symbol/frd,AMEX
GGN,"GAMCO Global Gold, Natural Reources & Income Trust ",5.56,747617054.4,n/a,2005,n/a,n/a,http://www.nasdaq.com/symbol/ggn,AMEX
GGN^B,"GAMCO Global Gold, Natural Reources & Income Trust ",24.0965,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ggn^b,AMEX
EGAS,Gas Natural Inc.,12.9,135704491.2,n/a,n/a,Public Utilities,Oil/Gas Transmission,http://www.nasdaq.com/symbol/egas,AMEX
GST,Gastar Exploration Inc.,0.87,184356117.2,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/gst,AMEX
GST^A,Gastar Exploration Inc.,16.39,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/gst^a,AMEX
GST^B,Gastar Exploration Inc.,19.05,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/gst^b,AMEX
JOB,GEE Group Inc.,5.41,53444805.72,n/a,n/a,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/job,AMEX
GMO,"General Moly, Inc",0.3389,30820666.75,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/gmo,AMEX
GSB,"GlobalSCAPE, Inc.",4.87,105054817,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/gsb,AMEX
GSAT,"Globalstar, Inc.",2.17,2422933173,n/a,2006,Consumer Services,Telecommunications Equipment,http://www.nasdaq.com/symbol/gsat,AMEX
GLOW,"Glowpoint, Inc.",0.28,10229800,n/a,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/glow,AMEX
GORO,Gold Resource Corporation,4.08,231906477.8,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/goro,AMEX
AUMN,Golden Minerals Company,0.56,50208989.6,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/aumn,AMEX
GSS,"Golden Star Resources, Ltd",0.6639,249736575.5,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/gss,AMEX
GV,Goldfield Corporation (The),5.35,136164743.9,n/a,n/a,Basic Industries,Water Supply,http://www.nasdaq.com/symbol/gv,AMEX
GDP,Goodrich Petroleum Corporation,11.4,103840616.4,n/a,2017,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/gdp,AMEX
GVP,"GSE Systems, Inc.",3.05,58511102.4,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/gvp,AMEX
HEB,"Hemispherx BioPharma, Inc.",0.505,13427491.46,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/heb,AMEX
HLM^,Hillman Group Capital Trust,34.26,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/hlm^,AMEX
HMG,"HMG/Courtland Properties, Inc.",11.11,11136575.12,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/hmg,AMEX
HUSA,Houston American Energy Corporation,0.6315,32381670.52,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/husa,AMEX
