Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,Exchange
NP,"Neenah Paper, Inc.",79.4,1332967200,n/a,n/a,Basic Industries,Paper,http://www.nasdaq.com/symbol/np,NYSE
NEFF,Neff Corporation,17.95,595212630.1,n/a,2014,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/neff,NYSE
NNI,"Nelnet, Inc.",46.43,1960054336,n/a,2003,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/nni,NYSE
NPTN,NeoPhotonics Corporation,8.51,366602290,n/a,2011,Technology,Semiconductors,http://www.nasdaq.com/symbol/nptn,NYSE
NSR,"Neustar, Inc.",33.4,1862949996,n/a,2005,Consumer Services,Telecommunications Equipment,http://www.nasdaq.com/symbol/nsr,NYSE
NVRO,Nevro Corp.,73.74,2160250760,n/a,2014,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/nvro,NYSE
HYB,"New America High Income Fund, Inc. (The)",9.67,225977437.1,n/a,1988,n/a,n/a,http://www.nasdaq.com/symbol/hyb,NYSE
GF,"New Germany Fund, Inc. (The)",16.75,263824459.5,n/a,1990,n/a,n/a,http://www.nasdaq.com/symbol/gf,NYSE
IRL,"New Ireland Fund, Inc. (The)",13.63,50926218.79,n/a,1990,n/a,n/a,http://www.nasdaq.com/symbol/irl,NYSE
NMFC,New Mountain Finance Corporation,14.55,1099568133,n/a,2011,n/a,n/a,http://www.nasdaq.com/symbol/nmfc,NYSE
NEWR,"New Relic, Inc.",43.17,2309846034,n/a,2014,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/newr,NYSE
NRZ,New Residential Investment Corp.,16.44,5052572883,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/nrz,NYSE
SNR,New Senior Investment Group Inc.,10.25,841947464,n/a,2014,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/snr,NYSE
NWY,"New York & Company, Inc.",1.43,91826070.05,n/a,2004,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/nwy,NYSE
NYCB,"New York Community Bancorp, Inc.",12.75,6235440515,n/a,n/a,Finance,Banks,http://www.nasdaq.com/symbol/nycb,NYSE
NYCB^A,"New York Community Bancorp, Inc.",28.61,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/nycb^a,NYSE
NYCB^U,"New York Community Bancorp, Inc.",51.15,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/nycb^u,NYSE
NYT,New York Times Company (The),17.35,2802900308,n/a,n/a,Consumer Services,Newspapers/Magazines,http://www.nasdaq.com/symbol/nyt,NYSE
NWL,Newell Brands Inc.,53.34,25768554000,n/a,n/a,Consumer Non-Durables,Plastic Products,http://www.nasdaq.com/symbol/nwl,NYSE
NFX,Newfield Exploration Company,27.66,5509721474,n/a,1993,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/nfx,NYSE
NJR,NewJersey Resources Corporation,41.75,3608823950,n/a,n/a,Public Utilities,Oil/Gas Transmission,http://www.nasdaq.com/symbol/njr,NYSE
NEU,NewMarket Corporation,454.22,5383695694,n/a,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/neu,NYSE
NEM,Newmont Mining Corporation,33.77,18007288338,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/nem,NYSE
NR,"Newpark Resources, Inc.",6.8,604160150.8,n/a,n/a,Energy,Metal Fabrications,http://www.nasdaq.com/symbol/nr,NYSE
NXRT,"NexPoint Residential Trust, Inc.",25.34,533246572.5,n/a,2015,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/nxrt,NYSE
NEP,"NextEra Energy Partners, LP",39.4,2137359577,n/a,2014,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/nep,NYSE
NEE,"NextEra Energy, Inc.",144.23,67523102615,n/a,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/nee,NYSE
NEE^C,"NextEra Energy, Inc.",26.94,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/nee^c,NYSE
NEE^G,"NextEra Energy, Inc.",25.45,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/nee^g,NYSE
NEE^H,"NextEra Energy, Inc.",25.28,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/nee^h,NYSE
NEE^I,"NextEra Energy, Inc.",25.28,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/nee^i,NYSE
NEE^J,"NextEra Energy, Inc.",25.413,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/nee^j,NYSE
NEE^K,"NextEra Energy, Inc.",25.3,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/nee^k,NYSE
NEE^Q,"NextEra Energy, Inc.",65.57,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/nee^q,NYSE
NEE^R,"NextEra Energy, Inc.",54.25,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/nee^r,NYSE
NGL,NGL ENERGY PARTNERS LP,12.3,1487160528,n/a,2011,Energy,Oil Refining/Marketing,http://www.nasdaq.com/symbol/ngl,NYSE
NGL^B,NGL ENERGY PARTNERS LP,24.86,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ngl^b,NYSE
NMK^B,"Niagara Mohawk Holdings, Inc.",98.94,0,n/a,n/a,Public Utilities,Power Generation,http://www.nasdaq.com/symbol/nmk^b,NYSE
NMK^C,"Niagara Mohawk Holdings, Inc.",99,0,n/a,n/a,Public Utilities,Power Generation,http://www.nasdaq.com/symbol/nmk^c,NYSE
NKE,"Nike, Inc.",53.28,87952841891,n/a,n/a,Consumer Non-Durables,Shoe Manufacturing,http://www.nasdaq.com/symbol/nke,NYSE
NI,"NiSource, Inc",26.08,8448836037,n/a,n/a,Public Utilities,Power Generation,http://www.nasdaq.com/symbol/ni,NYSE
NL,"NL Industries, Inc.",7.7,375035306.8,n/a,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/nl,NYSE
NBL,Noble Energy Inc.,28.27,12196089131,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/nbl,NYSE
NBLX,Noble Midstream Partners LP,46.21,1469716813,n/a,2016,Energy,Natural Gas Distribution,http://www.nasdaq.com/symbol/nblx,NYSE
JWN,"Nordstrom, Inc.",47.8,7937288707,n/a,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/jwn,NYSE
NSC,Norfolk Souther Corporation,119.48,34623232217,n/a,n/a,Transportation,Railroads,http://www.nasdaq.com/symbol/nsc,NYSE
NRT,North European Oil Royality Trust,6.46,59371211.4,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/nrt,NYSE
NOC,Northrop Grumman Corporation,255.95,44681901505,n/a,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/noc,NYSE
NRE,NorthStar Realty Europe Corp.,12.79,703416106.5,n/a,2015,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/nre,NYSE
NWN,Northwest Natural Gas Company,61.55,1763058327,n/a,n/a,Public Utilities,Oil/Gas Transmission,http://www.nasdaq.com/symbol/nwn,NYSE
